UE Data/MC(#bf{10-30%, All-Plane}, AbsEta0p0to2p0, R0p6, NoFlow): #Delta#mu_{MC,Data}=0.397#pm0.071, #Delta#sigma_{MC,Data}=-3.727#pm0.063
UE Data/MC(#bf{0-10%, All-Plane}, AbsEta0p0to2p0, R0p6, NoFlow): #Delta#mu_{MC,Data}=-0.324#pm0.150, #Delta#sigma_{MC,Data}=-3.550#pm0.138
UE Data/MC(#bf{30-50%, All-Plane}, AbsEta0p0to2p0, R0p6, FlowDefaultInRho): #Delta#mu_{MC,Data}=-0.189#pm0.047, #Delta#sigma_{MC,Data}=-0.430#pm0.035
UE Data/MC(#bf{10-30%, All-Plane}, AbsEta0p0to2p0, R0p6, FlowDefaultInRho): #Delta#mu_{MC,Data}=-0.809#pm0.084, #Delta#sigma_{MC,Data}=-1.748#pm0.064
UE Data/MC(#bf{0-10%, All-Plane}, AbsEta0p0to2p0, R0p6, FlowDefaultInRho): #Delta#mu_{MC,Data}=-1.085#pm0.196, #Delta#sigma_{MC,Data}=-2.761#pm0.141
UE Data/MC(#bf{30-50%, All-Plane}, AbsEta0p0to2p0, R0p8, NoFlow): #Delta#mu_{MC,Data}=0.140#pm0.058, #Delta#sigma_{MC,Data}=-2.511#pm0.053
UE Data/MC(#bf{10-30%, All-Plane}, AbsEta0p0to2p0, R0p8, NoFlow): #Delta#mu_{MC,Data}=0.004#pm0.106, #Delta#sigma_{MC,Data}=-6.452#pm0.095
UE Data/MC(#bf{0-10%, All-Plane}, AbsEta0p0to2p0, R0p8, NoFlow): #Delta#mu_{MC,Data}=-1.274#pm0.199, #Delta#sigma_{MC,Data}=-6.125#pm0.182
UE Data/MC(#bf{30-50%, All-Plane}, AbsEta0p0to2p0, R0p8, FlowDefaultInRho): #Delta#mu_{MC,Data}=-0.494#pm0.081, #Delta#sigma_{MC,Data}=-0.863#pm0.057
UE Data/MC(#bf{10-30%, All-Plane}, AbsEta0p0to2p0, R0p8, FlowDefaultInRho): #Delta#mu_{MC,Data}=-1.459#pm0.124, #Delta#sigma_{MC,Data}=-2.814#pm0.093
UE Data/MC(#bf{0-10%, All-Plane}, AbsEta0p0to2p0, R0p8, FlowDefaultInRho): #Delta#mu_{MC,Data}=-2.442#pm0.318, #Delta#sigma_{MC,Data}=-4.729#pm0.216
UE Data/MC(#bf{30-50%, All-Plane}, AbsEta0p0to2p0, R1p0, NoFlow): #Delta#mu_{MC,Data}=-0.281#pm0.080, #Delta#sigma_{MC,Data}=-3.562#pm0.076
UE Data/MC(#bf{10-30%, All-Plane}, AbsEta0p0to2p0, R1p0, NoFlow): #Delta#mu_{MC,Data}=-1.206#pm0.138, #Delta#sigma_{MC,Data}=-9.350#pm0.126
UE Data/MC(#bf{0-10%, All-Plane}, AbsEta0p0to2p0, R1p0, NoFlow): #Delta#mu_{MC,Data}=-3.107#pm0.267, #Delta#sigma_{MC,Data}=-7.975#pm0.239
UE Data/MC(#bf{30-50%, All-Plane}, AbsEta0p0to2p0, R1p0, FlowDefaultInRho): #Delta#mu_{MC,Data}=-0.986#pm0.126, #Delta#sigma_{MC,Data}=-1.352#pm0.083
UE Data/MC(#bf{10-30%, All-Plane}, AbsEta0p0to2p0, R1p0, FlowDefaultInRho): #Delta#mu_{MC,Data}=-3.281#pm0.183, #Delta#sigma_{MC,Data}=-4.540#pm0.127
UE Data/MC(#bf{0-10%, All-Plane}, AbsEta0p0to2p0, R1p0, FlowDefaultInRho): #Delta#mu_{MC,Data}=-4.068#pm0.427, #Delta#sigma_{MC,Data}=-6.235#pm0.286
